Simulation,Random Number,Mapped Casualty Value
1,0.7260407274197055,12.24137931
1,0.38497052099250095,5.33744856
1,0.7708473212862709,12.24137931
1,0.12135474818157754,2.713157895
1,0.20197782740715264,2.98094028
1,0.7210633385806069,12.24137931
1,0.49662410312286753,5.33744856
1,0.21789705620498034,2.98094028
1,0.5446428223785561,6.222634508
1,0.33000519180465715,3.986975398
1,0.8182628362001613,12.24137931
1,0.34147951546725297,3.986975398
1,0.059097602380400405,0.887675507
1,0.5199159934646281,6.222634508
1,0.6300332807626569,6.222634508
1,0.1424412165617216,2.713157895
1,0.11506891332162417,2.713157895
1,0.8765684466004928,12.24137931
1,0.6383957851587259,6.222634508
1,0.5317917338557471,6.222634508
1,0.4972720117464915,5.33744856
1,0.7518757029345089,12.24137931
1,0.557915986336867,6.222634508
1,0.7113800266230605,12.24137931
1,0.9125619532329217,12.24137931
1,0.051437898812816685,0.887675507
1,0.6681149452181937,6.222634508
1,0.48199208086797685,5.33744856
1,0.4666771914271931,5.33744856
1,0.2951467157585872,3.986975398
1,0.6694945694130547,12.24137931
1,0.5794225818889545,6.222634508
1,0.7094411004859201,12.24137931
1,0.2666876329089436,3.986975398
1,0.16333374552296254,2.713157895
1,0.25610225177061374,3.986975398
1,0.4153527055282433,5.33744856
1,0.7726023734172267,12.24137931
1,0.49878995096473355,5.33744856
1,0.8165445242922301,12.24137931
1,0.46963752330060926,5.33744856
1,0.20275344480673418,2.98094028
1,0.7393926361936065,12.24137931
1,0.036818942217088924,0.8855140187
1,0.8109627224332576,12.24137931
1,0.22084590738446452,2.98094028
1,0.6026304727786013,6.222634508
1,0.4798124264783923,5.33744856
1,0.044183539935969796,0.887675507
1,0.4921272351760614,5.33744856
1,0.2608528780884406,3.986975398
1,0.5565687100643659,6.222634508
1,0.39234929007814123,5.33744856
1,0.5748187684508304,6.222634508
1,0.8832708630359714,12.24137931
1,0.5745585014148236,6.222634508
1,0.11545169108884012,2.713157895
1,0.859163843191962,12.24137931
1,0.6616634683624253,6.222634508
1,0.5556663078845127,6.222634508
1,0.5181422448706311,6.222634508
1,0.6146224604716367,6.222634508
1,0.7062129132632697,12.24137931
1,0.29884384543878506,3.986975398
1,0.05122119106236667,0.887675507
1,0.5456049981064032,6.222634508
1,0.36781936492786205,5.33744856
1,0.6685989445790489,6.222634508
1,0.7955853021774589,12.24137931
1,0.6606311177673028,6.222634508
1,0.15515379908835103,2.713157895
1,0.4555078311933669,5.33744856
1,0.06178260877252384,0.887675507
1,0.24107214045898984,2.98094028
1,0.6602037644456482,6.222634508
1,0.5020442651671131,6.222634508
1,0.2686944697546766,3.986975398
1,0.7398759007013729,12.24137931
1,0.9709221465000577,12.24137931
1,0.5397892352868855,6.222634508
1,0.7950897629579821,12.24137931
1,0.32582191289481643,3.986975398
1,0.9481054704458904,12.24137931
1,0.6853724947881874,12.24137931
1,0.34542725154687537,3.986975398
1,0.14046773173466764,2.713157895
1,0.7163195536209435,12.24137931
1,0.7594743388351013,12.24137931
1,0.864259386757473,12.24137931
1,0.5702865858415148,6.222634508
1,0.9519272112509349,12.24137931
1,0.37928297773995145,5.33744856
1,0.9192465494921433,12.24137931
1,0.02089816441079173,0.8855140187
1,0.9365571951354734,12.24137931
1,0.35914261063637265,5.33744856
1,0.2283110242066807,2.98094028
1,0.4623736595107133,5.33744856
1,0.14252466893051952,2.713157895
1,0.8381189750058127,12.24137931
1,0.31777208181890004,3.986975398
1,0.05151381044462411,0.887675507
1,0.6945668735029344,12.24137931
1,0.4333323830423941,5.33744856
1,0.22284429993668142,2.98094028
1,0.4229224648140282,5.33744856
1,0.15480186252257844,2.713157895
1,0.5897009627291008,6.222634508
1,0.19514551339701325,2.98094028
1,0.23709049925922543,2.98094028
1,0.4755059907423842,5.33744856
1,0.3075946870219326,3.986975398
1,0.924515358183617,12.24137931
1,0.38861007903781686,5.33744856
1,0.16461729664058666,2.713157895
1,0.310662203627896,3.986975398
1,0.5058345564373284,6.222634508
1,0.11217931745612164,2.713157895
1,0.3652572591113914,5.33744856
1,0.021829997227120534,0.8855140187
1,0.9991997577307318,12.24137931
1,0.6390824674759895,6.222634508
1,0.16087505362353327,2.713157895
1,0.4236962142172468,5.33744856
1,0.9124731711709171,12.24137931
1,0.6418182428348661,6.222634508
1,0.6353308459001071,6.222634508
1,0.2781951154233856,3.986975398
1,0.22938640576945846,2.98094028
1,0.4295312977189667,5.33744856
1,0.34191060959279673,3.986975398
1,0.05287771734019675,0.887675507
1,0.7944993966234629,12.24137931
1,0.4672729335448207,5.33744856
1,0.28802850460629803,3.986975398
1,0.3400508477032663,3.986975398
1,0.631304423158239,6.222634508
1,0.9294670445755824,12.24137931
1,0.6193267254139203,6.222634508
1,0.7304708582740389,12.24137931
1,0.833334018401886,12.24137931
1,0.698170485871175,12.24137931
1,0.3316796205038115,3.986975398
1,0.08992357972839893,0.9801084991
1,0.6853672338968858,12.24137931
1,0.17091704642806782,2.98094028
1,0.6475003303909579,6.222634508
1,0.7105541513941107,12.24137931
1,0.1651193930044308,2.713157895
1,0.4722798759561505,5.33744856
1,0.4594656325445148,5.33744856
1,0.8640675667463473,12.24137931
1,0.39916535936328335,5.33744856
1,0.224565749480363,2.98094028
1,0.4135580076208728,5.33744856
1,0.5275268872340698,6.222634508
1,0.43585026940169824,5.33744856
1,0.4137434983869497,5.33744856
1,0.8964944686492837,12.24137931
1,0.46592006535880415,5.33744856
1,0.5589455432945319,6.222634508
1,0.5051012837318929,6.222634508
1,0.2261045618290024,2.98094028
1,0.26319588863037335,3.986975398
1,0.8077758843464948,12.24137931
1,0.879764291965206,12.24137931
1,0.8083006749393953,12.24137931
1,0.3227896724478835,3.986975398
1,0.5131523225750244,6.222634508
1,0.502383207806325,6.222634508
1,0.6025601595643548,6.222634508
1,0.05502246629020968,0.887675507
1,0.7166737207704508,12.24137931
1,0.28410597400718773,3.986975398
1,0.7783812263196622,12.24137931
1,0.8808987255225714,12.24137931
1,0.09223873268167604,0.9801084991
1,0.9201537402928531,12.24137931
1,0.30453883830828,3.986975398
1,0.9510177141834232,12.24137931
1,0.0016114614966453722,0.2342857143
1,0.17317036702316269,2.98094028
1,0.6377438217448701,6.222634508
1,0.43254155482458034,5.33744856
1,0.015715609150918408,0.4783950617
1,0.31114931262359324,3.986975398
1,0.09767697663040087,2.713157895
1,0.9820735047475693,12.24137931
1,0.907336565594123,12.24137931
1,0.7015625361887508,12.24137931
1,0.4306153512198746,5.33744856
1,0.3951998078265959,5.33744856
1,0.18633971764185286,2.98094028
1,0.3317990190339456,3.986975398
1,0.07781245695741812,0.9801084991
1,0.6253710634893117,6.222634508
1,0.1961116697588583,2.98094028
1,0.09775569100531079,2.713157895
1,0.06732147118271004,0.887675507
1,0.1431482755924537,2.713157895
1,0.43688085398045995,5.33744856
1,0.9196452389093867,12.24137931
1,0.5656525407872405,6.222634508
1,0.5175109362880905,6.222634508
1,0.13806366246934698,2.713157895
1,0.5330423749834016,6.222634508
1,0.26309113521154115,3.986975398
1,0.9139599548771364,12.24137931
1,0.9303442510108935,12.24137931
1,0.7075752617723289,12.24137931
1,0.7840530259958859,12.24137931
1,0.8997921783354212,12.24137931
1,0.6479292253583026,6.222634508
1,0.46802041936763705,5.33744856
1,0.6824219125991438,12.24137931
1,0.5524672582592427,6.222634508
1,0.9785554575004765,12.24137931
1,0.07848342792696306,0.9801084991
1,0.7684387111945313,12.24137931
1,0.07089545649860918,0.9801084991
1,0.15460014520732446,2.713157895
1,0.5114573255549886,6.222634508
1,0.4420423024731305,5.33744856
1,0.21849903282639227,2.98094028
1,0.6822301782088015,12.24137931
1,0.08003078436167488,0.9801084991
1,0.3881069367063279,5.33744856
1,0.4420042926805232,5.33744856
1,0.2153029495483194,2.98094028
1,0.3222184754083771,3.986975398
1,0.4781495519990815,5.33744856
1,0.5653120360115508,6.222634508
1,0.2511265198387729,3.986975398
1,0.8285445295369955,12.24137931
1,0.4232050022611038,5.33744856
1,0.02027626250554626,0.8855140187
1,0.6648958215597087,6.222634508
1,0.8829992418207218,12.24137931
1,0.6957404284528274,12.24137931
1,0.7318425682642058,12.24137931
1,0.6310737760443532,6.222634508
1,0.28317223885251375,3.986975398
1,0.9024416540011234,12.24137931
1,0.5332441182306507,6.222634508
1,0.0453723833544899,0.887675507
1,0.48342734094164863,5.33744856
1,0.58209196839599,6.222634508
1,0.26317551027227026,3.986975398
1,0.20095337485771703,2.98094028
